Paper,Author
14985,6784092
14990,6778248
15023,6784182
15066,6784297
15081,6784338
15095,6784366
15133,6772649
15138,6756561
15142,6784329
15152,6784493
15158,6778887
15171,6784540
15177,6784554
15197,6784596
15202,6784606
15217,6784634
15229,6784663
15230,6784665
15231,6758605
15251,6783444
15254,6784726
15256,6778887
15286,6784794
15287,6781224
15308,6784830
15316,6784847
15325,6770421
15341,6769899
15353,6784919
15366,6784946
15377,6784968
15397,6778887
15400,6784891
15429,6778887
15491,6772389
15498,6756184
15508,6785254
15546,6785343
15558,6785365
15568,6785375
15569,6763004
15571,6768482
15572,6785379
15598,6769768
15617,6785474
15618,6785475
15625,6769768
15660,6785564
15664,6778121
15696,6785626
15711,6785657
15722,6785676
15730,6785365
15737,6785704
15739,6756104
15740,6785712
15746,6785234
15749,6785733
15757,6759629
15767,6785766
15771,6785773
15781,6785796
15785,6764073
15786,6778887
15789,6785819
15803,6785855
15820,6756869
15832,6780057
15841,6785935
15890,6786036
15891,6786038
15912,6786073
15918,6786084
15954,6784539
15957,6786161
15960,6766508
15961,6784098
15973,6785613
15986,6784539
15991,6778060
15992,6786224
16011,6786263
16032,6766291
16041,6786324
16043,6783986
16045,6786331
16060,6778614
16067,6786369
16074,6784389
16102,6784744
16115,6786502
16131,6786538
16135,6769768
16138,6786555
16157,6780494
16176,6786620
16188,6784396
16189,6769768
16191,6758019
16219,6783165
16232,6786729
16248,6785015
16261,6758914
16264,6786794
16266,6786797
16283,6786833
16289,6786848
16311,6784161
16322,6782650
16368,6787003
16369,6784031
16375,6784146
16383,6787033
16384,6787037
16389,6787045
16398,6787055
16446,6780973
16448,6785524
16450,6784671
16453,6786791
16473,6756817
16475,6757154
16486,6778887
16493,6774722
16515,6787276
16517,6787283
16520,6785299
16529,6787307
16545,6761475
16552,6786302
16562,6782541
16566,6787364
16581,6787394
16583,6787398
16592,6787413
16593,6787417
16618,6787466
16625,6786366
16662,6765827
16668,6787563
16684,6786442
16706,6780709
16728,6758185
16730,6761785
16732,6784613
16736,6787705
16746,6785319
16749,6777693
16761,6769768
16769,6787769
16786,6780582
16798,6784460
16817,6786084
16819,6784755
16827,6771290
16830,6787886
16838,6784967
16843,6787909
16848,6787918
16862,6784503
16897,6784092
16921,6779606
16924,6776377
16938,6788118
16971,6786735
16972,6788174
16980,6776997
16989,6779828
17031,6788260
17032,6788263
17068,6788325
17073,6788338
17112,6772347
17128,6788449
17131,6788453
17132,6758698
17137,6785830
17154,6788483
17157,6781057
17179,6785984
17188,6788546
17189,6755554
17207,6788572
17210,6788575
17219,6784316
17251,6788632
17273,6778679
17283,6784918
17288,6769768
17306,6785306
17320,6788752
17329,6788767
17336,6761153
17338,6765519
17339,6788785
17346,6788799
17360,6759629
17380,6784074
17398,6778887
17404,6788903
17406,6788905
17411,6775520
17413,6788917
17414,6788920
17425,6788944
17433,6788950
17444,6779445
17455,6788991
17461,6769766
17478,6778815
17529,6789109
17539,6789136
17548,6789149
17564,6785693
17597,6779604
17602,6785139
17606,6789261
